Amaranthus hybridus;izrodni ščir;
Amaranthus hypochondriacus;žitni ščir;
Amaranthus hypochondriacus 'Monstrosus';žitni ščir;
Amaranthus hypochondriacus 'Sanguineus';žitni ščir;
Amaranthus lividus;zelenkasti ščir;
Amaranthus lividus ;goli ščir;
Amaranthus retrofleksus;navadni ščir;
Amaranthus sanguineus;krvavordeči ščir;
Amaranthus sylvestris;gozdni ščir;
Amaranthus tricolor;tribarvni ščir;
Amaryllis belladonna;viteška zvezda;
Amaryllis sp.;amarilis;
Ambrosia artemisiifolia;navadna ambrozija;
Ambrosia trifida;trikrpata žvrklja;
Amelanchier canadensis;kanadska šmarna hrušica;
Amelanchier ovalis;šmarna hrušica;
Ammi majus;velika peščenica;
Amorpha fruticosa;amorfa;
Amorphophallus rivieri;amorfofalus;
Amorphophallus titanum;amorfofalus;
Amsonia angustifolia;ozkolistna amsonija;
Anacamptis pyramidalis;piramidasti pilovec;
Anagallis arvensis;navadna kurja češnjica;
Ananas comosus;čopasti ananas;
Ananas sativus;ananas;
Anaphalis margaritacea;mačje tačke;
Anchusa officinalis;navadni volovski jezik;
Andromeda polifolia;navadna rožmarinka;
Andropogon gerardii;visoki obrad;
Andropogon scoparius;nizki obrad;
Androsace chaixii;oklep;
Androsace lactea;mlečnobeli oklep;
Androsace mucronifolia;oklep;
Anemone apennina;apeninska vetrnica;
Anemone canadensis;kanadska vetrnica;
Anemone drummondii;vetrnica;
Anemone hortensis;vrtna vetrnica;
Anemone hupehensis;jesenska vetrnica;
Anemone hupehensis var. japonica;japonska vetrnica;
Anemone hybrida;hibridna vetrnica;
Anemone multifida;deljenolistna vetrnica;
Anemone nemorosa;podlesna vetrnica;
Anemone ranunculoides;zlatičnata vetrnica;
Anemone reflexa;zavita vetrnica;
Anemone rivularis;potočna vetrnica;
Anemone sp. 'St. Brigid';vetrnica;
Anemone sylvestris;divja vetrnica;
Anemone trifolia;trilistna vetrnica;
Anemone virginiana;viržinska vetrnica;
Anemone x hybrida;vetrnica;križanec
Anemonella thalictroides;vetrničica;
Anethum graveolens;navadni koper;
Angelica archangelica;zdravilni gozdni koren;
Angelica sylvestris;navadni gozdni koren;
Anisantha sterilis;jalovi glistnik;
Anisantha tectorum;strešni glistnik;
Annona cherimola;čirimoja;
Annona muricata;trnasta anona;
Antennaria dioica;navadna majnica;
Anthemis altissima;visoka pasja kamilica;
Anthemis arvensis;njivska pasja kamilica;
Anthemis austriaca;avstrijska pasja kamilica;
Anthemis nobilis;rimska divja kamilica;
Anthemis tinctoria;barvilna pasja kamilica;
Anthemis tinctoria;barvilna pasja kamilica;
Anthericum ramosum;navadni kosmuljek;
Anthoxanthum odoratum;dišeča boljka;
Anthoxanthum odoratum;dišeča boljka;
Anthriscus cerefolium;prava krebuljica;
Anthurium andraeanum;flamingo;
Anthyllis jacquinii;Jacquinijev ranjak;
Anthyllis vulneraria;pravi ranjak;
Anthyllis vulneraria subsp. alpestris;alpski ranjak;
Anthyllis vulneraria subsp. carpatica;pravi ranjak;
Anthyllis x rubicunda;rdeči ranjak;
Antirrhinum majus;veliki odolin;zajčki
Apera spica-venti;navadni srakoperec;
Apium graveolens cv.;navadna zelena;
Apium repens;plazeča zelena;
Aposeris foetida;navadna smrdljivka;
Aquilegia atrata;črnikastovijolična orlica;
Aquilegia atrata;črnikastovijolična orlica;
Aquilegia bertolonii;Bertolonijeva orlica;
Aquilegia canadensis;kanadska orlica;
Aquilegia einseleana;Einselejeva orlica;
Aquilegia elegantula;razkošna orlica;
Aquilegia flabellata 'Alba';bela pahljačastolistna orlica;
Aquilegia formosa;lepa orlica;
Aquilegia grata;prijetna orlica;
Aquilegia kitaibelii;orlica;
Aquilegia nigricans;velecvetna orlica;
Aquilegia pyrenaica;pirenejska orlica;
Aquilegia sibirica;sibirska orlica;
Aquilegia viridiflora;zelenocvetna orlica;
Aquilegia vulgaris;navadna orlica;
Arabidopsis thaliana;navadni repnjakovec;
Arabis alpina;alpski repnjak;
Arabis alpina subsp. alpina;alpski repnjak;
Arabis alpina subsp. caucasica;kavkaški repnjak;
Arabis caucasica;kavkaški repnjak;
Arabis ciliata;češuljasti repnjak;
Arabis ferdinandi-coburgi;Coburgov repnjak;
Arabis hirsuta;dlakavi repnjak;
Arabis muralis;zidni repnjak;
Arabis pauciflora;malocvetni repnjak;
Arabis procurrens;karpatski repnjak;
Arabis sagittata;kopjastolistni repnjak;
Arabis scopoliana;Scopolijev repnjak;
Arabis sp.;repnjak;
Arabis turrita;slokastoplodni repnjak;
Arabis vochinensis;bohinjski repnjak;
Arachis hypogaea;arašid;zemeljski orešek
Araucaria heterophylla;sobna smreka;
Arbutus unedo;navadna jagodičnica;
Arctium lappa;navadni repinec;
Arctostaphylos uva-ursi;vednozeleni gornik;
Areca catechu;betlova palma;
Arecastrum romanzoffianum;kraljičina palma;
Aremonia agrimonoides;navadni strček;
Arenaria procera;vitka peščenka;
Arenaria procera subsp. glabra;vitka peščenka;
Argemone alba;beli bodeči mak;
Argemone grandiflora;velecvetni bodeči mak;
Argemone mexicana;mehiški bodeči mak;
Aristolochia elegans;okrasni podraščec;
Aristolochia gigantea;orjaški podraščec;
Aristolochia littoralis;okrasni podraščec;
Aristolochia macrophylla;velelistni podraščec;
Aristolochia sp.;podraščec;
Armeria alliacea;lukoliki pečnik;
Armeria alpina;alpski pečnik;
Armeria arenaria;peščeni pečnik;
Armeria canescens;sivkasti pečnik;
Armeria juniperifolia;rušnati pečnik;
Armeria maritima;obmorski pečnik;
Armeria pseudarmeria;širokolistni pečnik;
Armoracia rusticana;navadni hren;
Arnica montana;navadna arnika;
Aronia melanocarpa;črnoplodna aronija;
Arrhenatherum elatius;visoka pahovka;
Artemisia abrotanum;abrašica;
Artemisia absinthium;pravi pelin;
Artemisia alba;beli pelin;
Artemisia campestris;divji pelin;
Artemisia dracunculus;pehtran;
Artemisia vulgaris;navadni pelin;
Arum cylindraceum;alpski kačnik;
Arum italicum;laški kačnik;
Arum maculatum;pegasti kačnik;
Aruncus dioicus;navadno kresničevje;
Arundo donax;navadna kanela;
Arundo plinii;Plinijeva kanela;
Asarum europaeum;navadni kopitnik;
Asclepias curassavica;svilnica;
Asclepias syriaca;sirska svilnica;
Ascocenda 'Karen Ono';medrodovni križanec;
Ascocenda 'Red Jam Sunlight';medrodovni križanec;
Ascocenda 'Suksamran Sunlight';medrodovni križanec;
Asparagus acutifolius;ostrolistni beluš;
Asparagus densiflorus 'Myersii';pritlikavi beluš;
Asparagus maritimus;obmorski beluš;
Asparagus plumosus;puhasti asparagus;peresasti beluš
Asparagus sprengeri;Sprengerjev asparagus;Sprengerjev beluš
Asparagus tenuifolius;lasasti beluš;
Asperula aristata;dolgocvetna perla;
Asperula cynanchica;hribska perla;
Asperula taurina;turinska perla;
Asperula tinctoria;barvilna perla;
Asperula tinctoria;barvilna perla;
Asperula tinctoria ssp. hungarorum;barvilna perla;
Asphodeline liburnica;liburnijski čepljec;
Asphodeline lutea;rumeni čepljec;
Asphodelus aestivus;poletni zlati koren;
Asphodelus albus;navadni zlati koren;
Asphodelus corphus;zlati koren;
Aspidistra elatior;navadna ščitovka;
Asplenium adiantum-nigrum;črni sršaj;
Asplenium nidus;gnezdnati sršaj;
Asplenium trichomanes;rjavi sršaj;
Asplenium viride;zeleni sršaj;
Aster alpinus;alpska nebina;
Aster amellus;gorska nebina;
Aster bellidiastrum;marjetičasta nebina;
Aster canus;sivodlakava nebina;
Aster ericoides;resolistna astra;
Aster linosyris;zlata nebina;
Aster novae-angliae;novoanglijska nebina;
Aster novi-belgii;virginijska nebina;
Aster puniceus;vijoličasta nebina;
Aster sp.;nebina;
Astilbe chinensis;kitajska vrtna kresnica;
Astilbe davidii;Davidova vrtna kresnica;
Astilbe japonica;japonska vrtna kresnica;
Astilbe rivularis;potočna vrtna kresnica;
Astragalus angustifolius;ozkolistni grahovec;
Astragalus carniolicus;kranjski grahovec;
Astragalus cicer;čičkasti grahovec;
Astragalus falcatus;srpasti grahovec;
Astragalus sp.;grahovec;
Astrantia bavarica;bavarski zali kobulček;
Astrantia carniolica;kranjski zali kobulček;
Astrantia major;veliki zali kobulček;
Astrantia major;veliki zali kobulček;
Astrophytum myriostigma;škofovska kapa;
Astrophytum myriostigma var. columnae;škofovska kapa;
Astrophytum myriostigma var. strongylogonum;škofovska kapa;
Astrophytum ornatum;okrašeni astrofit;
Athamanta cretensis;alpska jelenka;
Athamanta haynaldii;Haynaldova jelenka;
Athamanta turbith;skalna jelenka;
Atriplex sagittata;kopjastolistna loboda;
Atropa belladonna;volčja češnja;
Aubrieta deltoides;deltasta avbrecija;
Aucuba japonica;aukuba;
Aurinia saxatilis;skalna zlatenka;
Austrocylindropuntia cylindrica;južna valjasta opuncija;
Avena fatua;gluhi oves;
Avena nuda;goli oves;
Avena nuda subsp. strigosa;goli oves;
Avena sativa;navadni oves;
Avena sativa 'Brunea';navadni oves;kultivar
Avena sativa 'Elisa';navadni oves;jari
Avena sativa 'Expandu';jari oves;
Avena sativa 'Leanda';jari oves;
Avena sativa 'Pram';jari oves;
Avena sativa 'Ticco';jari oves;
Avena sativa 'Typhon';jari oves;
Avena sativa 'Valiant';jari oves;
Avena sterilis;jalovi oves;
Averrhoa carambola;karambola;
Bacopa monnieri;brahmi;
Ballota nigra subsp. nigra;črna lahkotnica;
Ballota rupestris;skalna lahkotnica;
Baptisia australis;nepravi indigovec;
Barbarea orthoceras;barbica;roža sv. Barbare
Barbarea vulgaris;navadna barbica;
Bartsia alpina;alpska barčija;
Basella alba;Cejlonska špinača;
Basella rubra;rdečelistna špinača;
Bassia scoparia;navadni metlovec;
Bauhinia forficata;orhidejno drevo;
Bauhinia purpurea;orhidejno drevo;
Bauhinia tomentosa;orhidejno drevo;
Bauhinia variegata;pisano orhidejno drevo;
Begonia aconitifolia;preobjedolistna begonija;
Begonia albomaculata;belopegasta begonija;
Begonia coralina 'Luzerna';koralnordeča begonija;
Begonia erythrophylla;rdečelistna begonija;
Begonia foliosa;drobnolistna begonija;
Begonia heracleifolia;deženovolistna begonija;
Begonia masoniana;begonija;
Begonia rex;kraljevska begonija;
Belamcanda chinensis;kitajska belamkanda;
Bellevalia dubia;belvalovka;
Bellevalia romana;rimska belvalovka;navadni hijacint
Bellis perennis;navadna marjetica;
Beloperone guttata;mehiška hmeljnica;
Berberis julianae;Julijanin češmin;
Berberis thunbergii;Thunbergov češmin;
Berberis vulgaris;navadni češmin;
Bergenia ciliata;vejicata bergenija;
Bergenia crassifolia;debelolistna bergenija;
Bergenia delavayi;Delavajeva bergenia;
Bergenia ligulata;jezičasta bergenija;
Bergeranthus scapiger;golostebelni bergerant;
Berteroa incana;navadni sivec;
Beta vulgaris;krmna pesa;
