Lonicera xylosteum;Lonicera xylosteum;190364
Lotus corniculatus;Lotus corniculatus;190273
Lotus maritimus;Lotus maritimus;190226
Lotus pedunculatus;Lotus pedunculatus;190453
Lunaria rediviva;Lunaria rediviva;190123
Lupinus polyphyllus;Lupinus polyphyllus;190720
Lychnis flos-cuculi;Lychnis flos-cuculi;190035
Lycopsis arvensis;Lycopsis arvensis;190151
Lycopus europaeus;Lycopus europaeus;190709
Lysimachia europaea;Lysimachia europaea;190306
Lysimachia nummularia;Lysimachia nummularia;190230
Lysimachia punctata;Lysimachia punctata;190511
Lysimachia thyrsiflora;Lysimachia thyrsiflora;190229
Lysimachia vulgaris;Lysimachia vulgaris;190463
Lythrum salicaria;Lythrum salicaria;190637
Maianthemum bifolium;Maianthemum bifolium;189970
Malus sylvestris;Malus sylvestris;189983
Malva alcea;Malva alcea;190485
Malva moschata;Malva moschata;190669
Malva neglecta;Malva neglecta;190205
Malva sylvestris;Malva sylvestris;190204
Matricaria discoidea;Matricaria discoidea;190434
Matricaria recutita;Matricaria recutita;189825
Medicago falcata;Medicago falcata;190267
Medicago lupulina;Medicago lupulina;190003
Medicago sativa;Medicago sativa;190459
Melampyrum arvense;Melampyrum arvense;190441
Melampyrum pratense;Melampyrum pratense;190248
Melampyrum sylvaticum;Melampyrum sylvaticum;190247
Melilotus albus;Melilotus albus;189839
Melilotus officinalis;Melilotus officinalis;190440
Mentha aquatica;Mentha aquatica;190603
Mentha arvensis;Mentha arvensis;190604
Mentha spicata;Mentha spicata;190602
Menyanthes trifoliata;Menyanthes trifoliata;190177
Mercurialis annua;Mercurialis annua;190110
Mercurialis perennis;Mercurialis perennis;190065
Moehringia trinervia;Moehringia trinervia;190326
Moneses uniflora;Moneses uniflora;190372
Monotropa hypopitys;Monotropa hypopitys;190461
Muscari botryoides;Muscari botryoides;190058
Muscari neglectum;Muscari neglectum;190054
Mycelis muralis;Mycelis muralis;190684
Myosotis arvensis;Myosotis arvensis;190152
Myosotis scorpioides;Myosotis scorpioides;190139
Myosotis sylvatica;Myosotis sylvatica;189889
Myosoton aquaticum;Myosoton aquaticum;190380
Myriophyllum spicatum;Myriophyllum spicatum;190527
Nasturtium officinale;Nasturtium officinale;190317
Neottia nidus-avis;Neottia nidus-avis;190256
Neottia ovata;Neottia ovata;190100
Neslia paniculata;Neslia paniculata;190292
Nuphar lutea;Nuphar lutea;190476
Nuphar pumila;Nuphar pumila;190477
Nymphaea alba;Nymphaea alba;190304
Oenanthe aquatica;Oenanthe aquatica;190395
Oenothera biennis;Oenothera biennis;190405
Oenothera parviflora;Oenothera parviflora;190406
Onobrychis viciifolia;Onobrychis viciifolia;190195
Ononis spinosa;Ononis spinosa;190545
Ophrys apifera;Ophrys apifera;190513
Ophrys fuciflora;Ophrys fuciflora;190509
Ophrys insectifera;Ophrys insectifera;190098
Ophrys sphegodes;Ophrys sphegodes;190097
Orchis mascula;Orchis mascula;190181
Orchis militaris;Orchis militaris;190182
Orchis pallens;Orchis pallens;190017
Origanum vulgare;Origanum vulgare;190498
Ornithogalum umbellatum;Ornithogalum umbellatum;189821
Orobanche minor;Orobanche minor;190245
Orobanche ramosa;Orobanche ramosa;190696
Orthilia secunda;Orthilia secunda;190374
Oxalis acetosella;Oxalis acetosella;189975
Oxalis corniculata;Oxalis corniculata;190722
Papaver argemone;Papaver argemone;190207
Papaver rhoeas;Papaver rhoeas;189712
Paris quadrifolia;Paris quadrifolia;190068
Parnassia palustris;Parnassia palustris;190707
Pastinaca sativa;Pastinaca sativa;190695
Pedicularis palustris;Pedicularis palustris;190712
Pedicularis sylvatica;Pedicularis sylvatica;190173
Persicaria hydropiper;Persicaria hydropiper;190589
Persicaria lapathifolia;Persicaria lapathifolia;189791
Persicaria maculosa;Persicaria maculosa;190643
Petasites albus;Petasites albus;190714
Petasites hybridus;Petasites hybridus;189930
Peucedanum oreoselinum;Peucedanum oreoselinum;189863
Peucedanum palustre;Peucedanum palustre;190702
Phyteuma spicatum;Phyteuma spicatum;189851
Picris hieracioides;Picris hieracioides;190693
Pilosella officinarum;Pilosella officinarum;190243
Pimpinella anisum;Pimpinella anisum;189714
Pimpinella major;Pimpinella major;189703
Pimpinella saxifraga;Pimpinella saxifraga;189861
Pinguicula alpina;Pinguicula alpina;190302
Pinguicula vulgaris;Pinguicula vulgaris;190566
Plantago lanceolata;Plantago lanceolata;189764
Plantago major;Plantago major;190558
Plantago media;Plantago media;189766
Platanthera bifolia;Platanthera bifolia;189884
Platanthera chlorantha;Platanthera chlorantha;190382
Polygala amara;Polygala amara;190149
Polygala chamaebuxus;Polygala chamaebuxus;190208
Polygala comosa;Polygala comosa;190150
Polygala vulgaris;Polygala vulgaris;190148
Polygonatum multiflorum;Polygonatum multiflorum;190322
Polygonatum odoratum;Polygonatum odoratum;190321
Polygonatum verticillatum;Polygonatum verticillatum;190320
Polygonum aviculare;Polygonum aviculare;189789
Portulaca oleracea;Portulaca oleracea;190416
Potamogeton crispus;Potamogeton crispus;190095
Potamogeton natans;Potamogeton natans;190576
Potentilla alba;Potentilla alba;189976
Potentilla argentea;Potentilla argentea;190409
Potentilla erecta;Potentilla erecta;190234
Potentilla neumanniana;Potentilla neumanniana;189949
Potentilla reptans;Potentilla reptans;190282
Potentilla sterilis;Potentilla sterilis;189962
Prenanthes purpurea;Prenanthes purpurea;190611
Primula elatior;Primula elatior;189946
Primula farinosa;Primula farinosa;190178
Primula veris;Primula veris;189893
Prunella grandiflora;Prunella grandiflora;190564
Prunella vulgaris;Prunella vulgaris;190118
Prunus avium;Prunus avium;189985
Prunus padus;Prunus padus;190341
Prunus spinosa;Prunus spinosa;189954
Pulmonaria officinalis;Pulmonaria officinalis;189915
