Abies alba,abete bianco
Cardamine amara,billeri amaro
Cardamine bulbifera,dentaria minore
Cardamine chelidonia,billeri celidonia
Cardamine enneaphyllos,dentaria a nove foglie
Cardamine flexuosa,billeri flessuoso
Cardamine graeca,billeri greco
Cardamine heptaphylla,dentaria pennata
Cardamine hirsuta,crescione primaticcio
Cardamine impatiens,billeri comune
Cardamine kitaibelii,dentaria di kitaibel
Cardamine parviflora,billeri a fiori piccoli
Cardamine pratensis,billeri dei prati
Cardamine raphanifolia,billeri di calabria
Cardamine resedifolia,billeri pennato
Cardamine rivularis,billeri delle ripe
Cardaminopsis halleri,arabetta di haller
Cardaria draba,lattona
Carduncellus coeruleus,cardoncello azzurro
Carduus acanthoides,cardo branca-orsina
Carduus acicularis,cardo con squame aghiformi
Carduus carlinaefolius,cardo alpino
Carduus chrysacanthus,cardo appenninico
Carduus corymbosus,cardo corimboso
Carduus crispus,cardo crespo
Carduus macrocephalus,cardo a capolini grossi
Carduus micropterus,cardo ad ali strette
Carduus nutans,cardo rosso
Carduus personata,cardo personata
Carduus pycnocephalus,cardo saettone
Carduus tenuiflorus,cardo minore
Carex acutiformis,carice tagliente
Carex brachystachys,carice dei burroni
Carex canescens,carice cenerina
Carex caryophyllea,carice primaticcia
Carex contigua,carice contigua
Carex davalliana,carice di davall
Carex depauperata,carice impoverita
Carex digitata,carice digitata
Carex distachya,carice mediterranea
Carex distans,carice a spighe distanziate
Carex divisa,carice scirpina
Carex divulsa,carice separata
Carex elata,carice spondicola
Carex extensa,carice delle lagune
Carex firma,carice rigida
Carex flacca,carice glauca
Carex flava,carice di oeder
Carex frigida,carice gelida
Carex fusca,carice fosca
Carex gracilis,carice palustre
Carex hallerana,carice di haller
Carex hirta,carice villosa
Carex hispida,carice ispida
Carex hostiana,carice di host
Carex humilis,carice minore
Carex kitaibeliana,carice di kitaibel
Carex leporina,carice pi� di lepre
Carex liparocarpos,carice lustra
Carex macrolepis,carice appenninica
Carex michelii,carice del micheli
Carex mucronata,carice mucronata
Carex oederi,carice di oeder
Carex olbiensis,carice di olbia
Carex ornithopoda,carice pi� d’uccello
Carex otrubae,carice volpina
Carex pairaei,carice di paira
Carex pallescens,carice verde-pallida
Carex panicea,carice migliacea
Carex paniculata,carice pannocchiata
Carex parviflora,carice nera
Carex pendula,carice maggiore
Carex pilosa,carice pelosa
Carex pilulifera,carice pallottolina
Carex praecox,carice serpeggiante
Carex pseudocyperus,carice falso-c�pero
Carex punctata,carice punteggiata
Carex remota,carice ascellare
Carex riparia,carice spondicola
Carex rostrata,carice rigonfia
Carex rupestris,carice delle creste
Carex sempervirens,carice verdeggianta
Carex stellulata,carice stellare
Carex sylvatica,carice delle selve
Carex tomentosa,carice canuta
Carex umbrosa,carice ombrosa
Carex vesicaria,carice vescicosa
Carlina acaulis,carlina bianca
Carlina corymbosa,carlina raggio d’oro
Carlina lanata,carlina lanosa
Carlina utzka,carlina zolfina
Carlina vulgaris,carlina comune
Carpesium cernuum,capo-chino comune
Carpinus betulus,carpino comune
Carpinus orientalis,carpino orientale
Carpobrotus acinaciformis,fico degli ottentotti comune
Carthamus lanatus,zafferanone selvatico
Carum carvi,kummel
Carum heldreichii,kummel rupestre
Castanea sativa,castagno comune
Catabrosa aquatica,gramignone di palude
Catananche lutea,cupidone giallo
Catapodium hemipoa,logliarello maggiore
Catapodium marinum,logliarello marino
Catapodium rigidum,logliarello ruderale
Caucalis platycarpos,lappola carota
Celtis australis,bagolaro comune
Cenchrus incertus,nappola delle spiagge
Centaurea bracteata,fiordaliso bratteato
Centaurea calcitrapa,fiordaliso stellato
Centaurea cyanus,fiordaliso vero
Centaurea deusta,fiordaliso cicalino
Centaurea maculosa,fiordaliso dei pascoli
Centaurea melitensis,fiordaliso maltese
Centaurea montana,fiordaliso montano
Centaurea nervosa,fiordaliso alpino
Centaurea nigrescens,fiordaliso nerastro
Centaurea pratensis,fiordaliso ibrido
Centaurea rupestris,fiordaliso giallo
Centaurea scabiosa,fiordaliso vedovino
Centaurea solstitialis,fiordaliso giallo
Centaurea sphaerocephala,fiordaliso delle spiagge
Centaurea triumfetti,fiordaliso di trionfetti
Centaurium erythraea,centauro maggiore
Centaurium maritimum,centauro marittimo
Centaurium pulchellum,centauro elegante
Centaurium spicatum,centauro spigato
Centaurium tenuiflorum,centauro tenue
Centranthus calcitrapa,camarezza monore
Centranthus ruber,camarezza comune
Cephalanthera damasonium,cefalantera bianca
Cephalanthera longifolia,cefalantera maggiore
Cephalanthera rubra,cefalantera rossa
Cephalaria leucantha,vedovina a teste bianche
Cephalaria transsylvanica,vedovina maggiore
Cerastium arvense,peverina a foglie strette
Cerastium brachypetalum,peverina a petali brevi
Cerastium cerastioides,peverina a 3 stimmi
