Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Mammillaria bombycina;マミラリア・ボンビキナ;豊明丸
Mammillaria bucareliensis;マミラリア・ブカレリエンシス;
Mammillaria candida;マミラリア・カンディダ;満月
Mammillaria compressa;マミラリア・コンプレッサ;白竜丸
Mammillaria elongata;マミラリア・エロンガータ;黄金司
Mammillaria geminispina;マミラリア・ゲミニスピナ;白神丸
Mammillaria hahniana;マミラリア・ハーニアナ;玉翁
Mammillaria heyderi ssp. heyderi;マミラリア・ヘイデリ;
Mammillaria humboldtii;マミラリア・フムボルドティイ;春星
Mammillaria marksiana;マミラリア・マルクシアナ;金洋丸
Mammillaria plumosa;マミラリア・プルモサ;白星
Mammillaria polythele;マミラリア・ポリテレ;
Mammillaria pottsii;マミラリア・ポッツィー;大和姫
Mammillaria prolifera;マミラリア・プロリフェラ;金松玉
Mammillaria prolifera ssp. texana;マミラリア・テキサーナ;
Mammillaria sempervivi;マミラリア・センペルウィウィ;景清
Mammillaria sphacelata ssp. viperina;マミラリア・スファケラータ・ウィペリナ;
Mammillaria spinosissima;マミラリア・スピノシッシマ;猩々丸
Mammillaria uncinata;マミラリア・ウンキナータ;金剛石
Mammillaria vagaspina;マミラリア・ワガスピナ;断琴丸
Mammillaria woodsii;マミラリア・ウォードシー;霧棲丸
Mandevilla sanderi;マンデビラ・サンデリー;
Mandevilla sp.;マンデビラ;
Mandevilla x amoena;マンデビラ・アモエナ;
Manettia inflata;マネッティア・インフラータ;
Manfreda maculosa;マンフレダ・マクローサ;
Manfreda variegata;マンフレダ・バリエガタ;
Mangifera indica;マンゴー;
Manihot esculenta;キャッサバ;
Marah fabeceus;マラー・ファベケウス;
Marah oreganus;マラー・オレガヌス;
Maranta leuconeura;マランタ・レウコネウラ;
Maranta leuconeura var. erythroneura;マランタ・エリスロネウラ;紅豹紋蕉
Maranta leuconeura var. kerchoveana;マランタ・ケルコウェアナ;紋様蕉
Marcgravia rectiflora;マルクグラビア・レクティフローラ;
Marchantia polymorpha;ぜにごけ;銭苔
Marlothistella uniondalensis;マルロチステラ・ウニオンダレンシス;
Marsilea quadrifolia;でんじそう;田字草
Marsilea villosa;マルシレア・ウィローサ;
Masdevallia ignea;マスデバリア・イグネア;
Masdevallia schroederiana;マスデバリア・シュローデリアナ;
Masdevallia sp.;マスデバリア;
Masdevallia veitchiana;マスデバリア・ビーチアナ;
Massonia depressa;マッソニア・デプレッサ;
Massonia pustulata;マッソニア・プスツラータ;
Matelea reticulata;マテレア・レティクラータ;
Matricaria chamomilla;ジャーマンカモミール;
Matricaria matricarioides;こしかぎく;小鹿菊
Matteuccia struthiopteris;くさそてつ;草蘇鉄
Matthiola incana;ストック;紫羅欄花
Maurandia erubescens;マウランディア・エルベスケンス;
Maurandya antirrhiniflora;マウランディア・アンティルリニフローラ;
Maxillaria porphyrostele;マキシラリア・ポルフィロステレ;
Maxillaria variabilis;マキシラリア・ウァリアビリス;
Mayaca fluviatilis;マヤカ・フルビアティリス;
Mazus miquelii;さぎごけ;鷺苔
Mazus miquelii f. albiflorus;しろばなさぎごけ;白花鷺苔
Mazus pumilus;ときわはぜ;常磐黄櫨
Mecardonia acuminata;メカルドニア;
Meconopsis betonicifolia;メコノプシス・ベトニキフォリア;
Meconopsis cambrica;メコノプシス・カンブリカ;
Meconopsis grandis;メコノプシス・グランディス;
Meconopsis horridula;メコノプシス・ホリドゥラ;
Meconopsis integrifolia;メコノプシス・インテグリフォリア;
Meconopsis napaulensis;メコノプシス・ナパウレンシス;
Meconopsis x sheldonii;メコノプシス・シェルドニー;
Medicago minima;こうまごやし;子馬肥やし
Medicago sativa;むらさきうまごやし;紫馬肥やし
Medinilla magnifica;メディニラ・マグニフィカ;
Medinilla scortechinii;メディニラ・スコルテキニー;
Medinilla speciosa;メディニラ・スペキオサ;
Mediocalcar decoratum;メディオカルカ・デコラツム;
Meehania urticifolia;らしょうもんかずら;羅生門葛
Megaskepasma erythrochlamys;メガスケパスマ・エリトロクラミス;
Melaleuca alternifolia;ティーツリー;
Melaleuca leucadendron;カユプテ;
Melaleuca thymifolia;メラレウカ・チミフォリア;
Melampodium leucanthum;メランポジウム・レウカンツム;
Melampodium paludosum;メランポジウム;
Melampyrum laxum;しこくままこな;四国飯子菜
Melampyrum laxum var. nikkoense;みやまままこな;深山飯子菜
Melampyrum roseum var. japonicum;ままこな;飯子菜
Melastoma dodecandrum;メラストーマ・ドデカンドルム;
Melia azedarach;せんだん;栴檀
Melianthus major;メリアンツス・マイヨール;
Melilotus alba;しろばなしながわはぎ;白花品川萩
Melilotus officinalis;しながわはぎ;品川萩
Meliosma myriantha;あわぶき;泡吹き
Meliosma rigida;やまびわ;山枇杷
Meliosma tenuis;みやまははそ;深山柞
Melissa officinalis;レモンバーム;西洋山薄荷
Melocactus glaucescens;メロカクツス・グラウケスケンス;
Melocactus neryi;メロカクツス・ネルイ;層雲
Melothria japonica;すずめうり;雀瓜
Memecylon floribundum;メメキロン・フロリブンドゥム;
Menispermum dauricum;こうもりかずら;蝙蝠葛
Mentha aquatica;ぬまはっか;沼薄荷
Mentha arvensis var. piperascens;はっか;薄荷
Mentha pulegium;ペニーロイヤルミント;
Mentha spicata;スペアミント;緑薄荷
Mentha spicata var. crispa;カーリーミント;縮緬薄荷
Mentha suaveolens;アップルミント;丸葉薄荷
Mentha suaveolens var. variegata;パイナップルミント;
Mentha x gracilis;ジンジャーミント;
Mentha x piperita;ペパーミント;西洋薄荷
Mentha x piperita cv. Candy;キャンディミント;
Mentha x piperita cv. Citrata;オーデコロンミント;
Menyanthes trifoliata;みつがしわ;三槲
Menziesia cilicalix;うすぎようらく;薄黄瓔珞
Menziesia cferruginea;メンジーシア・フェルギネア;
Menziesia multiflora;うらじろようらく;裏白瓔珞
Menziesia multiflora var. longicalyx;がくうらじろようらく;萼裏白瓔珞
Menziesia multiflora var. purpurea;むらさきつりがねつつじ;紫釣鐘躑躅
Menziesia pentandra;こようらくつつじ;小瓔珞躑躅
Mercurialis leiocarpa;やまあい;山藍
Mertensia franciscana;メルテンシア・フランシスカーナ;
Mertensia pterocarpa var. yezoensis;えぞるりそう;蝦夷瑠璃草
Mesembryanthemum crystallinum;アイスプラント;
Messerschmidia sibirica;すなびきそう;砂引草
Metanarthecium luteo-viride;のぎらん;芒蘭
Metaplexis japonica;ががいも;蘿摩
Metasequoia glyptostroboides;メタセコイア;曙杉
Metrosideros excelsa;ポフツカワ;
Metroxylon warburgii;メトロキシロン・ヴァールブルギイ;
Michelia champaca;きんこうぼく;金香木
Michelia compressa;おがたまのき;招霊の木
Michelia figo;からたねおがたま;唐種招霊
Michelia maudiae;ミケーリア・マウディアエ;深山含笑
Michelia yunnanensis;うんなんおがたまのき;雲南招霊の木
Miconia calvescens;おおばのぼたん;大葉野牡丹
Micranthes odontoloma;ミクランテス・オドントローマ;
Microsorium punctatum;ミクロソリウム・プンクタツム;文目羊歯
Microsorium scolopendria;おきなわうらぼし;沖縄裏星
Microtropis japonica;もくれいし;木茘枝
Millettia japonica;なつふじ;夏藤
Millettia reticulata;むらさきなつふじ;紫夏藤
Miltonia flavescens;ミルトニア・フラウェスケンス;
Miltonia moreliana;ミルトニア・モレリアナ;
Mimosa borealis;ミモザ・ボレアリス;
Mimosa pudica;おじぎそう;お辞儀草
Mimulus aurantiacus;ミムラス・アウランティアクス;
Mimulus guttatus;ミムラス・グッタツス;
Mimulus nepalensis var. japonicus;みぞほおずき;溝酸漿
Mimulus sessilifolius;おおばみぞほおずき;大葉溝酸漿
Mimulus x hybridus;ミムラス;ミムルス
Minuartia arctica var. hondoensis;たかねつめくさ;高嶺爪草
Minuartia verna;ミヌアルティア・ウェルナ;
Minuartia tenella;ミヌアルティア・テネラ;
Minuartia verna var. japonica;ほそばつめくさ;細葉爪草
Mirabilis jalapa;おしろいばな;白粉花
Miricacalia makineana;おおもみじがさ;大紅葉傘
Miscanthus condensatus;はちじょうすすき;八丈薄
Miscanthus floridulus;ときわすすき;常磐薄
Miscanthus oligostachyus;かりやすもどき;刈安擬き
Miscanthus sacchariflorus;おぎ;荻
Miscanthus sinensis;すすき;薄
Miscanthus sinensis cv. Variegatus;しますすき;
Miscanthus sinensis cv. Zebrinus;たかのはすすき;
Miscanthus sinensis f. gracillimus;いとすすき;糸薄
Miscanthus tinctorius;かりやす;刈安
Mitchella undulata;つるありどおし;蔓蟻通し
Mitella acerina;もみじちゃるめるそう;紅葉哨吶草
Mitella japonica;おおちゃるめるそう;大哨吶草
Mitella pauciflora;こちゃるめるそう;小哨吶草
Mitella stauropetala;じゅうじちゃるめるそう;十字哨吶草
Miyamayomena koraiensis;ちょうせんよめな;朝鮮嫁菜
Miyamayomena koraiensis ssp. pygmaeus;しゅんじゅぎく;春寿菊
Miyamayomena savatieri;みやまよめな;深山嫁菜
Miyamayomena savatieri cv.;みやこわすれ;都忘れ
Moehringia lateriflora;おおやまふすま;大山衾
Moehringia muscosa;モエリンギア・ムスコーサ;
Moehringia tommasinii;モエリンギア・トマジーニイ;
Moliniopsis japonica;ぬまがや;沼茅
Mollugo pentaphylla;ざくろそう;石榴草
Mollugo verticillata;くるまばざくろそう;車葉石榴草
Momordica charantia;にがうり;苦瓜
Monarda citriodra;モナルダ・キトリオドラ;
Monarda didyma;モナルダ・ディディマ;松明花
Monarda fistulosa;モナルダ・フィスツローサ;矢車薄荷
Monarda punctata;ホースミント;
Monarda sp.;モナルダ;
Monochoria korsakowii;みずあおい;水葵
Monotropa uniflora;ぎんりょうそうもどき;銀竜草擬
Monotropastrum humile;ぎんりょうそう;銀竜草
Monstera deliciosa;ほうらいしょう;鳳来蕉
Monstera friedrichsthalii;まどかずら;窓葛
Moraea polystachyya;モラエア・ポリスタキア;
Moraea villosa;モラエア・ウィルローサ;
Morinda citrifolia;やえやまあおき;八重山青木
Morinda jasminoides;モリンダ・ヤスミノイデス;
Moringa oleifera;わさびのき;山葵の木
Mortonia greggii;モルトニア・グレッギイ;
Morus alba;まぐわ;真桑
Morus alba f. pendula;しだれぐわ;枝垂れ桑
Morus bombycis;やまぐわ;山桑
Morus microphylla;テキサスマルベリー;
Mosla dianthera;ひめじそ;姫紫蘇
Mosla punctulata;いぬこうじゅ;犬香需
Mucuna albertisii;ムクナ・アルベルティシー;
Mucuna bennettii;ムクナ・ベネッティー;
Mucuna pruriens;ムクナ;八升豆
Mucuna sempervirens;とびかずら;飛び葛
Mucuna warburgii;ムクナ・ワルブルギー;
Muehlenbeckia axillaris;ワイヤープランツ;
Muhlenbergia lindheimeri;ミューレンベルギア・リンドハイメリ;
Mukdenia rossii;いわやつで;岩八手
Murraya paniculata;げっきつ;月橘
Musa acuminata;バナナ;
Musa acuminata;さんかくバナナ;三角バナナ
Musa acuminata cv. Dwarf Cavendish;さんじゃくバナナ;三尺バナナ
Musa acuminata cv. Red Dacca;あかバナナ;赤バナナ
Musa acuminata cv. Williams hybrid;バナナ・ウィリアムス;
Musa acuminata ssp. sumatrana;とらふばしょう;虎斑芭蕉
Musa chiliocarpa;せんなりバナナ;千成バナナ
Musa coccinea;ひめばしょう;姫芭蕉
Musa liukiuensis;りゅうきゅうばしょう;琉球芭蕉
Musa ornata;ムサ・オルナータ;
Musa rosacea;ムサ・ロサケア;
Musa sapientum;ごしゃくバナナ;五尺バナナ
Musa textilis;マニラあさ;マニラ麻
Musa x parasisiaca cv. Ae Ae;ふいりバナナ;斑入りバナナ
Musa x parasisiaca cv. Hokusho;ほくしょうバナナ;北蕉バナナ
Muscari armeniacum;ムスカリ;瑠璃ムスカリ
Muscari comosum;ムスカリ・コモースム;
Musella lasiocarpa;ムセーラ・ラシオカルパ;地湧金蓮
Mussaenda erythrophylla;ひごろもこんろんか;
Mussaenda luteola;ムッサエンダ・ルテオラ;
Mussaenda parviflora;こんろんか;崑崙花
Mussaenda philippica;ムッサエンダ・フィリピカ;
Mussaenda philippica var. aurorae;ムッサエンダ・アウロラエ;
Mycena stipata;あくにおいたけ;灰汁臭い茸
Myosotis alpestris;ミオソティス・アルペストリス;
Myosotis latifolia;ひろはわすれなぐさ;広葉勿忘草
Myosotis scorpioides;わすれなぐさ;勿忘草
Myosotis sylvatica;えぞむらさき;蝦夷紫
Myosoton aquaticum;うしはこべ;牛繁縷
Myrcianthes fragrans;ツインベリー;
Myrciaria cauliflora;ジャボチカバ;木葡萄
Myrica rubra;やまもも;山桃
Myriophyllum brasiliense;おおふさも;大房藻
Myriophyllum ussuriense;たちも;立藻
Myrtillocactus geometrizans;りゅうじんぼく;竜神木
Myrtus communis;ぎんばいか;銀梅花
Myrtynia lutea;おおつのごま;大角胡麻
Nandina domestica;なんてん;南天
Nandina domestica cv. Otafukunanten;おたふくなんてん;
Nandina domestica var. leucocarpa;しろみなんてん;白実南天
Nannorrhops ritchieana;ナンノルホプス・リトキエアナ;
Nanocnide japonica;かてんそう;花点草
Narcissus albidus var. zaianicus;ナルキスス・ザイアニクス;
Narcissus bulbocodium;ナルキスス・ブルボコディウム;
Narcissus cantabricus;ナルキスス・カンタブリクス;
Narcissus cantabricus var. foliosus;ナルキスス・フォリオスス;
Narcissus cv.;たいはいすいせん;大杯水仙
Narcissus cv.;スプリットコロナすいせん;水仙
Narcissus cv.;しょうはいすいせん;小杯水仙
Narcissus cv.;やえざきすいせん;八重咲き水仙
Narcissus cyclamineus cv.;キクラミネウスすいせん;
Narcissus jonquilla;きずいせん;黄水仙
Narcissus jonquilla cv.;ジョンキルすいせん;ジョンキル水仙
Narcissus juncifolius;ナルキスス・ユンキフォリウス;
Narcissus pseudo-narcissus;ラッパすいせん;ラッパ水仙
Narcissus romieuxii;ナルキスス・ロミエウクシー;
Narcissus tazetta var. chinensis;すいせん;水仙
Narcissus tazetta var. tazetta;ふさざきすいせん;房咲き水仙
Narthecium asiaticum;きんこうか;金黄花
Nasturtium officinale;クレソン;オランダ芥子
Nelumbo nicifera;おおがはす;大賀蓮
Nelumbo nucifera;はす;蓮
Nelumbo nucifera cv.;ちゃわんばす;茶碗蓮
Nelumbo nucifera cv. Kanren;はす・かんれん;蓮・漢蓮
Nematanthus brasiliensis;ネマタンツス・ブラシリエンシス;
Nematanthus crassifolius;ネマタンツス・クラシフォリウス;
Nematanthus cv. Sorocaba;ネマタンツス・ソロカバ;
Nematanthus fluminensis;ネマタンツス・フルミネンシス;
Nematanthus gregarius;ヒポシルタ;金魚の木
Nematanthus monanthos;ネマタンツス・モナントス;
Nemesia caerulea;ネメシア・カエルレア;
Nemesia sp.;ネメシア;
Nemophila maculata;ネモフィラ・マクラタ;
Nemophila menziesii;ネモフィラ・メンジェシー;瑠璃唐草
Neobenthamia gracilis;ネオベンタミア・グラキリス;
Neocheiropteris ensata;くりはらん;栗葉蘭
Neodypsis decaryi;みつややし;三矢椰子
Neolitsea aciculata;いぬがし;犬樫
Neolitsea sericea;しろだも;白だも
Neomortonia nummularia;ネオモルトニア・ヌンムラリア;
Neoporteria gerocephala;はくおうぎょく;白翁玉
Neoporteria nidus;ぎんおうぎょく;銀翁玉
Neoporteria nidus var. multicolor;ネオポルテリア・ニドゥス・ムルチコロル;多彩玉
Neoporteria subgibbosa;ぎゃくりゅうぎょく;逆竜玉
Neoregelia carolinae;ネオレゲリア・カロリナエ;
Nepenthes alata;ネペンテス・アラータ;
Nepenthes ampullaria;ネペンテス・アンプラリア;
Nepenthes ampullaria var. vittata;ネペンテス・ビッタータ;
Nepenthes cv. Dyeriana;ネペンテス・ダイエリアナ;
Nepenthes gracilis;ネペンテス・グラキリス;
Nepenthes hookeriana;ネペンテス・フッケリアーナ;
Nepenthes merrilliana;ネペンテス・メリリアナ;
Nepenthes sp.;うつぼかずら;靱葛
Nepenthes truncata;ネペンテス・トルンカータ;
Nepeta cataria;キャットニップ;筑摩薄荷
Nepeta subsessilis;みそがわそう;味噌川草
Nepeta x faassenii;キャットミント;犬薄荷
Nephelium mutabile;ランブータン;
Nephrolepis biserrata;ほうびかんじゅ;鳳尾貫衆
Nephrolepis cordifolia;たましだ;玉羊歯
Nephrolepis exaltata;ネフロレピス・エクサルタータ;
Neptunia oleracea;みずおじぎそう;水含羞草
Nerine humilis;ネリネ・フミリス;
Nerine krigei;ネリネ・クリゲイ;
Nerine saniensis cv.;ネリネ;
Nerine undulata;ネリネ・ウンドゥラータ;
Nerium indicum;きょうちくとう;夾竹桃
Nerium kotschyi;イスラムきょうちくとう;夾竹桃
Nicandra physaloides;おおせんなり;大千成
Nicolaia elatior;トーチジンジャー;
Nicotiana glauca;きだちたばこ;木立煙草
Nicotiana sylvestris;ニコチアナ・シルウェストリス;
Nicotiana tabacum;たばこ;煙草
Nicotiana x sanderae;はなたばこ;花煙草
Nidularium billbergioides;ニドゥラリウム・ピルベルギオイデス;
Nierembergia caerulea;ニーレンベルギア;
Nierembergia rivularis;ぎんぱいそう;銀盃草
Nigella damascena;くろたねそう;黒種草
Nipponanthemum nipponicum;はまぎく;浜菊
Nomocharis aperta;ノモカリス・アペルタ;
Nomocharis saluenensis;ノモカリス・サルエネンシス;
Nopalea cochenillifera;ノパレア・コケニリフェラ;
Norantea guianensis;ノランテア・ギアネンシス;
Nothoscordum bivalve;ノトスコルドゥム・ビウァルウェ;
Nothoscordum fragrans;はたけにら;畑韮
Notocactus haselbergii;せっこう;雪晃
Notocactus sp.;しんこまち;新小町
Notocactus uebelmannianus;すみれまる;菫丸
Nuphar japonicum;こおほね;河骨
Nuphar japonicum f. rubrotinctum;べにこうほね;紅河骨
Nuphar pumilum;ねむろこうほね;根室河骨
Nuphar pumilum var. ozeense;おぜこうほね;尾瀬河骨
Nuphar subintegerrimum;ひめこうほね;姫河骨
Nymphaea colorata;ニンフェア・コロラータ;
Nymphaea cv.;ひめすいれん;姫睡蓮
Nymphaea cv.;すいれん;睡蓮
Nymphaea gigantea;ニンフェア・ギガンテア;
Nymphaea lotus;ニンフェア・ロツス;
Nymphaea mexicana;ニンフェア・メキシカーナ;メキシコ睡蓮
Nymphaea odorata;においひつじぐさ;匂い未草
Nymphaea rubra;ニンフェア・ルブラ;
Nymphaea sp.;ねったいすいれん;熱帯睡蓮
Nymphaea tetragona;ひつじぐさ;未草
Nymphoides coreana;ひめしろあさざ;姫白阿佐佐
Nymphoides indica;ががぶた;金銀蓮花
Nymphoides peltata;あさざ;阿佐佐
Nypa fruticans;ニッパやし;ニッパ椰子
Nyssa sylvatica;ぬまみずき;沼水木
Ochna serrulata;ミッキーマウスプラント;
Ocimum basilicum;スイートバジル;目箒
Ocimum basilicum cv. Purpurascens;ダークオパールバジル;
Ocimum minimum;ブッシュバジル;
Ocimum x citriodorum cv. Pesto Perpetuo;バジル・ペストペルペツオ;
Odontoglossum pulchellum;オドントグロッスム・プルケルム;
Odontoglossum sp.;オドントグロッスム;
Odontonema callistachyum;オドントネマ・カリスタキウム;
Odontonema strictum;オドントネマ・ストリクツム;
Oenanthe javanica;せり;芹
Oenanthe javanica cv. Nishikizeri;にしきぜり;錦芹
Oenothera biennis;めまつよいぐさ;雌待宵草
Oenothera deltoides;オノエテラ・デルトイデス;
Oenothera erythrosepala;おおまつよいぐさ;大待宵草
Oenothera fruticosa;きだちまつよいぐさ;木立待宵草
Oenothera laciniata;こまつよいぐさ;小待宵草
Oenothera rosea;ゆうげしょう;夕化粧
Oenothera speciosa;ひるざきつきみそう;昼咲き月見草
Oenothera stricta;まつよいぐさ;待宵草
Olea europaea ssp. africana;オレア・アフリカーナ;
Olea europea;オリーブ;
Omphalodes cappadocica;オンファロデス・カッパドキカ;
Omphalodes japonica;やまるりそう;山瑠璃草
Oncidium altissimum;オンシジウム・アルティッシムム;
Oncidium obryzatum;オンシジウム・オブリザツム;
Oncidium sp.;オンシジウム;
Onobrychis montana;オノブリキス・モンタナ;
Onobrychis viciifolia;オノブリキス・ウィキイフォリア;
Onoclea orientalis;いぬがんそく;犬雁足
Onoclea sensibilis var. interrupta;こうやわらび;高野蕨
Ononis spinosa;オノニス・スピノサ;針苜蓿
Onosma rigida;オノスマ・リギダ;
Onychium japonicum;たちしのぶ;立ち忍
Operculicarya decaryi;オペルクリカリア・デカリイ;
Ophioglossum namegatae;とねはなやすり;利根花鑢
Ophiopogon japonicus;じゃのひげ;蛇の髭
Oplismenus undulatifolius;ちぢみざさ;縮み笹
Oplopanax horridus;アメリカはりぶき;アメリカ針蕗
Oplopanax japonicus;はりぶき;針蕗
Opuntia elatior;オプンティア・エラチオール;紅花団扇
Opuntia ficus-indica;おおがたほうけん;大型宝剣
Opuntia imbricata;オプンティア・インブリカータ;
Opuntia leptocaulis;オプンティア・レプトカウリス;
Opuntia leucotricha;オプンティア・レウコトリカ;銀世界
Opuntia lindheimeri;オプンティア・リンドハイメリ;
Opuntia microdasys;きんえぼし;金烏帽子
Opuntia microdasys var. albispina;はくとうせん;白桃扇
Opuntia phaeacantha var. major;オプンティア・フェアカンタ;
Opuntia pilifera;オプンティア・ピリフェラ;
Opuntia robusta;オプンティア・ロブスタ;大丸盆
Opuntia rufida;オプンティア・ルフィダ;
Opuntia schumanni;オプンティア・スクマニイ;
Opuntia sp.;うちわさぼてん;団扇サボテン
Opuntia tuna;オプンティア・ツナ;金武扇
Opuntia violacea var. macrocentra;オプンティア・ウィオラケア・マクロケントラ;
Opuntia vulgaris;オプンティア・ウルガリス;単刺団扇
Orchis cyclochila;かもめらん;鴎蘭
Orchis graminifolia;うちょうらん;羽蝶蘭
Orchis graminifolia var. suzukiana;あわちどり;安房千鳥
Orchis majalis;オルキス・マヤリス;
Orchis mascula;オルキス・マスクラ;
Orchis palustris;オルキス・パルストリス;
Orchis sristata;はくさんちどり;白山千鳥
Oreorchis patens;こけいらん;小�尢�
Origanum cv. Buckland;オリガヌム・バックランド;
Origanum cv. Kenk Beauty;オレガノ・ケントビューティ;
Origanum dictamnus;オリガヌム・ディクタムヌス;
Origanum majorana;マジョラム;
Origanum vulgare;オレガノ;花薄荷
Origanum vulgare cv. Aureum;ゴールデンオレガノ;
Orixa japonica;こくさぎ;小臭木
Ornithogalum arabicum;オーニソガラム・アラビクム;
Ornithogalum narbonense;オーニソガラム・ナルボネンセ;
Ornithogalum nivale;オーニソガラム・ニバレ;
Ornithogalum saundersiae;オーニソガラム・サウンデルシアエ;
Ornithogalum suareolens;オーニソガラム・スアレオレンス;
Ornithogalum thyrsoides;オーニソガラム・ティルソイデス;
Ornithogalum umbellatum;オーニソガラム・ウムベラツム;
Ornithophora radicans;オルニトフォラ・ラディカンス;
Orostachys japonicus;つめれんげ;爪蓮華
Orostachys japonicus f. polycephalus;やつがしら;八頭
Orthosiphon aristatus;ねこのひげ;猫の髭
Orthosiphon labiatus;オルトシフォン・ラビアツス;
Orychophragmus violaceus;はなだいこん;花大根
Oryza sativa;いね;稲
Oryza sativa;くろまい;黒米
Osmanthus fragrans var. aurantiacus;きんもくせい;金木犀
Osmanthus fragrans var. fragrans;ぎんもくせい;銀木犀
Osmanthus fragrans var. thunbergii;うすぎもくせい;薄黄木犀
Osmanthus heterophyllus;ひいらぎ;柊
Osmanthus heterophyllus cv. Rotundifolius;まるばひいらぎ;丸葉柊
Osmanthus insularis;しまもくせい;島木犀
Osmanthus x fortunei;ひいらぎもくせい;柊木犀
Osmoxylon lineare;オスモキシロン・リネアレ;
Osmunda banksiifolia;しろやまぜんまい;城山薇
Osmunda cinnamomea;やまどりぜんまい;山鳥薇
Osmunda japonica;ぜんまい;薇
Osteospermum cv.;アフリカンデージー;
Osteospermum ecklonis;オステオスペルマム・エクロニス;
Ostericum florentii;みやまにんじん;深山人参
Ostericum sieboldii;やまぜり;山芹
Otacanthus caeruleus;オタカンサス;
Oxalis acetosella;こみやまかたばみ;小深山酢漿草
Oxalis adenophylla;オキザリス・アデノフィラ;
Oxalis amamiana;あまみかたばみ;奄美酢漿草
Oxalis articulata;いもかたばみ;
Oxalis bowiei;はなかたばみ;花酢漿草
Oxalis brasiliensis;べにかたばみ;紅酢漿草
Oxalis corniculata;かたばみ;酢漿草
Oxalis corniculata f. erecta;たちかたばみ;立ち酢漿草
Oxalis corniculata f. rubrifolia;あかかたばみ;赤酢漿草
Oxalis corniculata f. tropaeoloides;うすあかかたばみ;薄赤酢漿草
Oxalis corymbosa;むらさきかたばみ;
Oxalis crassipes;オキザリス・クラシペス;
Oxalis deppei;オキザリス・デッペイ;
Oxalis flava;オキザリス・フラウァ;
Oxalis griffithii;みやまかたばみ;深山酢漿草
Oxalis herrerae;オキザリス・ヘレラエ;
Oxalis hirta;オキザリス・ヒルタ;木立花酢漿草
Oxalis perennans;オキザリス・ペレンナンス;
Oxalis pes-caprae;おおきばなかたばみ;大黄花酢漿草
Oxalis regnellii;オキザリス・レグネリー;
Oxalis rubra;オキザリス・ルブラ;
Oxalis sp.;オキザリス;酢漿草
Oxalis sucullenta;オキザリス・スクレンタ;
Oxalis triangularis;オキザリス・トリアングラリス;
Oxalis variabilis;ふようかたばみ;芙蓉酢漿草
Oxalis versicolor;しぼりかたばみ;絞り酢漿草
Oxalis violacea;オキザリス・ウィオラケア;
Oxypetalum caeruleum;オキシペタルム・カエルレウム;瑠璃唐綿
Oxyria digyna;じんようすいば;腎葉酸葉
Oxytropis jacquinii;オキシトロピス・ヤックイニー;
Oxytropis megalantha;れぶんそう;礼文草
Oxytropis sp.;オキシトロピス;
Oxytropis todomoshiriensis;とどしまげんげ;海馬島紫雲英
Ozothamnus diosmifolius;ライスフラワー;
Pachira aquatica;パキラ・アクアティカ;
Pachira glabra;パキラ・グラブラ;
Pachycereus pringlei;ぶりんちゅう;武倫柱
Pachyphytum glutinicaule;パキフィツム・グルチニカウレ;稲田姫
Pachyphytum oviferum;パキフィツム・オウィフェルム;星美人
Pachypodium bispinosum;パキポジウム・ビスピノスム;
Pachypodium brevicaule;パキポジウム・ブレウィカウレ;
Pachypodium densiflorum;パキポジウム・デンシフロルム;
Pachypodium geayi;パキポジウム・ゲアイー;亜阿相界
Pachypodium lamerei;パキポジウム・ラメーレイ;
Pachypodium rosulatum var. drakei;パキポジウム・ドラケイ;
Pachypodium rosulatum var. horombense;パキポジウム・ホロンベンセ;
Pachypodium sofianse;パキポジウム・ソフィアンセ;
Pachypodium succulentum;パキポジウム・スックレンツム;天馬空
Pachyrhizus erosus;くずいも;葛芋
Pachysandra terminalis;ふっきそう;富貴草
Pachystachys coccinea;パキスタキス・コッキネア;紅珊瑚花
Pachystachys lutea;パキスタキス・ルテア;鬱金珊瑚
Paederia scandens;へくそかずら;屁糞葛
Paeonia japonica;やましゃくやく;山芍薬
Paeonia lactiflora;しゃくやく;芍薬
Paeonia suffruticosa;ぼたん;牡丹
Paeonia suffruticosa var. hiberniflora;かんぼたん;寒牡丹
Paeonia tenuifolia;ほそばしゃくやく;細葉芍薬
Palisota pynaertii;パリソタ・ピナエルティー;
Pallenis maritima;パレニス・マリティマ;
Panax ginseng;おたねにんじん;御種人参
Panax japonicus;とちばにんじん;栃葉人参
Pandanus baptisii;とげなしたこのき;棘無し蛸の木
Pandanus boninensis;たこのき;蛸の木
Pandanus odoratissimus;あだん;阿檀
Pandanus utilis;びようたこのき;美容蛸の木
Pandanus veitchii;ふいりたこのき;斑入り蛸の木
Pandorea jasminoides;パンドレア・ヤスミノイデス;
Pandorea pandorana;パンドレア・パンドラナ;
Panicum bisulcatum;ぬかきび;糠黍
Panicum miliaceum;きび;黍
Panicum virgatum;パニクム・ウィルガツム;
Papaver dubium;ながみひなげし;長実雛罌粟
Papaver mudicaule;アイスランドポピー;シベリア雛罌粟
Papaver orientale;おにげし;鬼罌粟
Papaver rhoeas;ひなげし;雛罌粟
Papaver rupifragum;パパウェル・ルピフラグム;
Papaver setigerum;あつみげし;渥美罌粟
Papaver somniferum;けし;罌粟
