Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Agave atrovirens;アガウェ・アトロウィレンス;酒竜舌
Agave attenuata;アガウェ・アッテヌアータ;酒竜舌
Agave ferdinandi-regis;ささふぶき;笹吹雪
Agave filifera;みだれゆき;乱れ雪
Agave flesxipina;アガウェ・フレキスピナ;
Agave karwinskii;アガウェ・カルウィンスキー;為朝
Agave kerchovei;アガウェ・ケルコウェイ;
Agave lechuguilla;レチュギヤ;
Agave lophantha;アガウェ・ローファンタ;
Agave macroacantha;アガウェ・マクロアカンタ;八荒殿
Agave palmeri;アガウェ・パルメリ;
Agave parryi;アガウェ・パリイ;虚空蔵
Agave parviflora;ささめゆき;細雪
Agave potatorum;アガウェ・ポタトルム;雷神
Agave salmiana var. ferox;アガウェ・フェロクス;
Agave scabra;アガウェ・スカブラ;
Agave striata;アガウェ・ストリアタ;
Agave stricta;ふきあげ;吹上
Agave tequilana;アガウェ・テキーラナ;
Agave titanota;アガウェ・チタノータ;
Agave victorae-reginae;ささのゆき;笹の雪
Ageratum houstonianum;アゲラタム;大かっ香薊
Aglaia odorata;アグライア・オドラータ;樹蘭
Aglaia sp.;アグライア;
Aglaomorpha coronans;かざりしだ;飾り羊歯
Aglaonema commutatum var. elegans;アグラオネマ・エレガンス;
Aglaonema simplex;アグラオネマ・シンプレックス;
Agrimonia nipponica;ひめきんみずひき;姫金水引
Agrimonia pilosa var. japonica;きんみずひき;金水引
Agropyron tsukushiense var. transiens;かもじぐさ;髢草
Agrostemma githago;アグロステンマ;麦仙翁
Agrostis stolonifera;はいこぬかぐさ;這小糠草
Ailanthus altissima;にわうるし;庭漆
Ainsliaea acerifolia var. subapoda;おくもみじはぐま;奥紅葉白熊
Ainsliaea apiculata;きっこうはぐま;亀甲白熊
Ainsliaea cordifolia;ていしょうそう;ていしょう草
Ainsliaea oblonga;ながばはぐま;長葉白熊
Aiphanes aculeata;おびれはりくじゃくやし;尾鰭針孔雀椰子
Ajuga ciliata var. villosior;かいじんどう;甲斐竜胆
Ajuga decumbens;きらんそう;金瘡小草
Ajuga genevensis;アジュガ・ゲネウェンシス;
Ajuga nipponensis;じゅうにひとえ;十二単
Ajuga pygmaea;ひめきらんそう;姫金瘡小草
Ajuga pyramidalis;アジュガ・ピラミダリス;
Ajuga reptans;せいようじゅうにひとえ;西洋十二単
Ajuga taiwanensis;やえやまじゅうにひとえ;八重山十二単
Ajuga yezoensis var. tsukubana;つくばきんもんそう;筑波金紋草
Akebia quinata;あけび;通草
