Cassiope hypnoides;Moslyng;
Gypsophila muralis;Mur Gipsurt;Murgipsurt
Epilobium lactiflorum;Mælke Dueurt;
Silene noctiflora;Nat-Limurt;
Pulsatilla pratensis;Nikkende Kobjælde;
Carduus nutans;Nikkende Tidsel;
Bidens cernua;Nikkkende Brøndsel;
Gnaphalium norvegicum;Nordisk Evighedsblomst;
Linnaea borealis;Nordisk Linnæa;
Oxytropis campestris;Nordisk Spidsbælg;
Aconitum lycoctonum;Nordisk Stormhat;
Draba norvegica;Norsk Draba;
Antennaria nordhageniana;Norsk Kattefod;
Potentilla norvegica;Norsk Potentil;
Ranunculus auricomus;Nyrebladet Ranunkel;
Lamium confertum;Nyrebladet Tvetand;
Campanula trachelium;Nældeklokke;
Campanula glomerata;Nøgleblomstret Klokke;
Papaver somniferum;Opium-Valmue;
Pulsatilla vulgaris;Opret Kobjælde;
Pastinaca sativa;Pastinak;
Sagittaria sagittifolia;Pilblad;
Pilosella Cauligera gruppe;Pilosella Cauligera;
Dactylorhiza maculata;Plettet Gøgeurt;
Hypochaeris maculata;Plettet Kongepen;
Dactylorhiza viride;Poselæbe;
Lysimachia punctata;Prikbladet Fredløs;
Ajuga pyramidalis;Pyramide Læbeløs;
Geranium pyrenaicum;Pyrenæisk Storkenæb;
Allium ursinum;Ramsløg;
Gnaphalium sylvaticum;Rank Evighedsblomst;
Myosotis stricta;Rank Forglemmigej;
Thalictrum simplex;Rank Frøstjerne;
Sisymbrium officinale;Rank Vejsennep;
Potentilla recta;Rank-Potentil;
Brassica napus;Raps og Kålroe;
Neottia nidus-avis;Rederod;
Orchis militaris;Ridder Gøgeurt;
Asperugo procumbens;River;
Rhodiola rosea;Rosenrod;
Cardamine hirsuta;Roset-Springklap;
Picris hieracioides;Ru Bittermælk;
Symphytum asperum;Ru Kulsukker;
Sonchus asper;Ru Svinemælk;
Geranium sibiricum;Rundbladet Storkenæb;
Anthyllis vulneraria;Rundbælg;
Eryngium planum;Russisk Mandstro;
Dryas octopetala;Rypelyng;
Empetrum nigrum;Rævling;
Anagallis arvensis;Rød Arve;
Actaea erythrocarpa;Rød Druemunke;
