Clematis viticella;primorska pavitina;škrobut sladki,haložina,trta lozolika
Clinopodium vulgare;čepić;čepac,čepčić,talac,pahuljasti talac
Clypeola jonthlaspi;sredozemna štitenka;štitenka povaljena,štitenka
Cnidium silaifolium;bijeli ošak;oštak striekani,ošak
Coeloglossum viride;zeleni šuplji jezik;vučji jezik
Colchicum autumnale;jesenski mrazovac;brezvrimenka,brnduša,golotura,kačja jabučica,lukovik,oćun,palučka divja,pevčiga,podlesek,voča lika,vočak,baluška,kaćunak,čafran divlji,vočak,mrazovac,leskovik,mrazova sestrica
Colutea arborescens;drvolika pucalina;pucavac,pucalina,grohotuša,pucalina vela,pucaljika,pucaljina,puškalovina,pucalika,pucalica,žuti bagrem,žuta bagrema,pucaljka
Conium maculatum;pjegava velika kukuta;cvolina,svinjavac,mrkva vodena,gugutva,boleglav,bologlav,glavobolja,grinjavac otrovni,komin nemški,piska,prolina,proulja,svolina,zelje glavoboljno,zvolina,živolina,trubeljika,trubelika,živolina pjegasta,velika kukuta,kukuta,trbulja,pjegava kukuta
Conringia austriaca;austrijska guščarica;guščarica žutkasta
Conringia orientalis;istočnjačka guščarica;čemin,guščarica ušikasta
Consolida ajacis;vrtni kokotić;dragoljić modraš,modrica,špiruneli,kokotac ostruga
Consolida orientalis;istočnjački kokotić;
Consolida regalis;kraljevski kokotić;kokotić divlji,konsulj kraljevski,mamuzica,modrica,smolinaja,sodula,ptičje nogice,konsul,dragun,spinel,kokotac prugasti,kokotić,žavornjak
Convallaria majalis;đurđica;bokarić,dragoljub,ljer gorski,carevo cvieće,đurđevo cvieće,biserni cviet,bokarski cvit,đurđić,gumbelija,lier gorski,lier prodoli,ljiljan dolinski,prebelika,dragoljica,đurđevak,jurjevica,jurjevka,đurđevo cvijeće,baber
Convolvulus arvensis;poljski slak;željk,slatkovina,slak,brstanica,čador bieli,čadorčić bieli,dlak,fatačica,popunac,slačac,slačika,sladkofata,slak mali,slakovina,slakuč,slatak,zimolez,zdlak,zlak,bodkastolistni slak,poponac
Convolvulus cantabrica;ružičasti slak;palja od pšenice,lopatolistni slak
Convolvulus althaeoides;oštrodlakavi slak;kadifasti slak
Convolvulus cneorum;srebroliki slak;srebrnolisni slak,brijačica bila,paštitkasti slak
Convolvulus lineatus;uskolisni slak;
Convolvulus tricolor;trobojni slak;brstanica modruša,čador,zvončić,tromanjasti slak
Conyza bonariensis;kovrčava hudoljetnica;
Conyza canadensis;kanadska hudoljetnica;hudoljetnica,repušnjača
Corallorhiza trifida;šumska koraljuša;
Coriandrum sativum;sjetveni korijandar;korjander,papric,čimavica,koriandol,koriandula,živica,paprica jamičasta,korijandar,korijander
Crithmum maritimum;obalni petrovac;tušć,petrovnjak,petrovnak,petrak,petrovo zelje,motar,kopar sladki,mah petrunak,motrika,omačalj,petrovac,peturak,ščulec,šćulac,štulac,trava svetog Petra,motrika tropera
Corispermum nitidum;sjajna stjeničnica;
Cornus alba;bijeli svib;bijela svibovina,bijeli drijen,tatarski svib
Cornus mas;drijen;drjen,drenek,drinja,drenić,drenovina,drien,drinina,drinovina,drn,drinika,drienak crljeni,dren,drenj,drenjina,drijenak,tvrdi drijen
Cornus sanguinea;svibovina;svib,vučji drien,rastivak,karvavi,vočka karvava,crnjula,drien divlji,drien mali,drinika krvna,pasji drinak,rastivak krvavi,siba,sibovina,sviba,sviben,svibić,svibje,šlib,voćka krvava,vučji drin,svibovina crljena,drienak crljenogrančasti,drijen svib,crni svib
Coronilla coronata;gorski grašar;krunica vienčasta
Coronilla emerus;gluhovet;pucaljika rogačica,šibika žuta,hrusta,kozja paša,krunica grmolika
Coronilla scorpioides;škorpionski grašar;ljubi draga,noga ptičja,kučica,rogačica,rogašica,krunica štipolika,ljubidraga
Coronilla vaginalis;krilastoplodni grašar;krunica tokasta
Coronilla varia;promjenjivi grašar;grahorina,grašar,ribjek dovji,krunica trobojna,divlja grašica,ajčica
Coronopus squamatus;puzava odra;sračja nožica,ubojna trava,zvizdac,zvizdica,odra nogasta,odra
Corrigiola litoralis;obalna krajanka;krajanka paštitkasta,krajanka
Cortusa matthioli;kortuza;jamarica
Corydalis bulbosa;šuplja šupaljka;šuplja kokočica,brezroda,golubja guša,kapulota,karfulica mačja,rodakva šuplja,trava zmijska,kokočica,šupljika,madja
Corydalis acaulis;bijela šupaljka;bijela kokočica,primorska kacigača,primorska dimovica
Corydalis intermedia;srednja šupaljka;srednja kokočica,šupaljka,šupaljka pasuljasta
Corydalis ochroleuca;okriljena šupaljka;okriljena kokočica,rosopast divji,šupaljka sivožuta
Corydalis pumila;patuljasta šupaljka;patuljasta kokočica,šupaljka nizka
Corydalis solida;čvrsta šupaljka;čvrsta kokočica,šupaljka kruta
Corylus avellana;sivosmeđa lijeska;obična lijeska,lijeska,lješnik,jegra,jezgarica,ljščujak,ljškovo,lesjak,leščina,liska,lišnjak,šumska lijeska,obična leska
Corylus colurna;drvolika lijeska;megjegja lijeska,megjetka,međedoliska,ljeskovina,lijeska mečja,medvjeđa lijeska,međeđa lijeska,divoljeska
Corylus maxima;lombardijska lijeska;Lambertova lijeska
Corynephorus canescens;sivkasta gladica;gladica
Cotinus coggygria;obična rujevina;rojevina,šćotan,ankiel,rujevina,skotan,škotanj,zankiel,ruj,rujevina jednostruka,obični ruj,domaći ruj
Cotoneaster integerrimus;obična dunjarica;grusenica,petrovčica,mušmulja golčasta
Cotoneaster nebrodensis;mušmulica;mušmulja pustena,mušmulica dunjarica
Crambe maritima;kupus morski;morsko zelje
Crataegus laevigata;crveni glog;obični glog
